ScoreID,SessionID,ShotNumber,ReactionTime,PositionX,PositionY,GameType,RecordedAt
139,1,1,0.58,0.57,3.25,Target,2025-03-30 10:47:46
140,1,2,0.36,-2.67,0.64,Target,2025-03-30 10:47:47
141,1,3,0.52,-1.51,-0.39,Target,2025-03-30 10:47:48
142,1,4,0.26,3.0,0.5,Target,2025-03-30 10:47:49
143,1,5,0.58,0.57,3.25,Target,2025-03-30 10:47:51
144,1,1,0.87,0.62,1.04,Shooting,2025-03-30 10:48:34
145,1,2,0.24,0.62,1.04,Shooting,2025-03-30 10:48:37
146,1,3,0.19,0.62,1.04,Shooting,2025-03-30 10:48:39
147,1,4,0.38,0.62,1.04,Shooting,2025-03-30 10:48:44
148,1,5,0.19,0.62,1.04,Shooting,2025-03-30 10:48:49
149,2,1,1.29,-0.71,0.35,Target,2025-03-30 10:54:41
150,2,2,1.5,-0.07,-1.14,Target,2025-03-30 10:54:42
151,2,3,1.72,0.23,0.66,Target,2025-03-30 10:54:43
152,2,4,1.55,0.03,0.3,Target,2025-03-30 10:54:44
153,2,5,1.29,-0.71,0.35,Target,2025-03-30 10:54:46
154,2,1,5.3,1.3,0.38,Shooting,2025-03-30 10:55:17
155,2,2,0.22,1.3,0.38,Shooting,2025-03-30 10:55:21
156,2,3,0.18,1.3,0.38,Shooting,2025-03-30 10:55:25
157,2,4,0.24,1.3,0.38,Shooting,2025-03-30 10:55:27
158,2,5,0.2,1.3,0.38,Shooting,2025-03-30 10:55:31
159,3,1,0.7,2.61,1.11,Target,2025-03-30 11:53:41
160,3,2,0.98,-0.03,0.44,Target,2025-03-30 11:53:42
161,3,3,0.89,-3.99,-0.41,Target,2025-03-30 11:53:43
162,3,4,0.94,-0.59,1.07,Target,2025-03-30 11:53:44
163,3,5,0.7,2.61,1.11,Target,2025-03-30 11:53:45
164,3,1,0.34,-5.7,2.13,Shooting,2025-03-30 11:54:08
165,3,2,0.47,-8.27,-0.95,Shooting,2025-03-30 11:54:12
166,3,3,0.3,0.26,0.65,Shooting,2025-03-30 11:54:16
167,3,4,0.26,0.54,0.93,Shooting,2025-03-30 11:54:19
168,3,5,0.21,0.82,0.37,Shooting,2025-03-30 11:54:22
169,4,1,1.01,0.67,0.47,Target,2025-03-30 12:54:30
170,4,2,1.93,-4.03,1.67,Target,2025-03-30 12:54:32
171,4,3,2.22,-1.29,-2.75,Target,2025-03-30 12:54:33
172,4,4,2.49,-8.72,-1.03,Target,2025-03-30 12:54:34
173,4,5,1.01,0.67,0.47,Target,2025-03-30 12:54:35
174,4,1,3.31,3.14,-0.06,Shooting,2025-03-30 12:55:34
175,4,2,0.88,2.83,-4.07,Shooting,2025-03-30 12:55:38
176,4,3,6.77,1.7,-0.69,Shooting,2025-03-30 12:55:49
177,4,4,0.53,-1.22,3.29,Shooting,2025-03-30 12:55:54
178,4,5,0.36,4.08,-1.74,Shooting,2025-03-30 12:55:59
179,5,1,1.6,-0.64,-1.35,Target,2025-03-30 13:15:02
180,5,2,2.03,2.35,-1.57,Target,2025-03-30 13:15:03
181,5,3,2.29,0.78,-0.81,Target,2025-03-30 13:15:04
182,5,4,1.54,-3.71,-2.7,Target,2025-03-30 13:15:06
183,5,5,1.6,-0.64,-1.35,Target,2025-03-30 13:15:08
184,5,1,0.99,-1.44,-2.92,Shooting,2025-03-30 13:16:24
185,5,2,0.64,-1.44,-2.92,Shooting,2025-03-30 13:16:28
186,5,3,0.46,-1.16,-2.64,Shooting,2025-03-30 13:16:30
187,5,4,0.5,-1.16,-2.64,Shooting,2025-03-30 13:16:34
188,5,5,0.43,-1.16,-2.64,Shooting,2025-03-30 13:16:38
189,,,,,,,
190,2,1,1.49,-0.65,0.7,Target,2025-04-23 14:50:07
191,2,2,5.54,-0.29,0.05,Target,2025-04-23 14:50:10
192,2,3,3.94,-1.07,-0.34,Target,2025-04-23 14:50:12
193,2,4,4.45,-1.09,-0.3,Target,2025-04-23 14:50:14
194,2,5,1.49,-0.65,0.7,Target,2025-04-23 14:50:15
195,2,1,2.01,2.27,0.29,Shooting,2025-04-23 14:51:49
196,2,2,1.06,1.19,0.29,Shooting,2025-04-23 14:51:54
197,2,3,1.72,1.19,0.29,Shooting,2025-04-23 14:51:59
198,2,4,0.61,1.19,0.29,Shooting,2025-04-23 14:52:02
199,2,5,0.45,1.19,0.29,Shooting,2025-04-23 14:52:06
